raceId,driverId,stop,lap,time,duration,milliseconds,duration_seconds,is_normal_stop
900,154,1,1,17:09:56,17.255,17255,17.255,1
900,821,1,1,17:10:12,32.657,32657,32.657,1
900,815,1,1,17:10:14,25.541,25541,25.541,1
900,18,1,11,17:26:02,22.411,22411,22.411,1
900,815,2,11,17:27:03,22.497,22497,22.497,1
900,3,1,12,17:27:27,24.331,24331,24.331,1
900,817,1,12,17:27:37,22.994,22994,22.994,1
900,825,1,12,17:27:45,23.150,23150,23.15,1
900,807,1,12,17:27:51,22.615,22615,22.615,1
900,4,1,12,17:27:55,22.887,22887,22.887,1
900,8,1,12,17:28:02,25.543,25543,25.543,1
900,818,1,12,17:28:02,23.124,23124,23.124,1
900,826,1,12,17:28:03,30.514,30514,30.514,1
900,828,1,23,17:48:18,23.238,23238,23.238,1
900,820,1,24,17:49:56,24.209,24209,24.209,1
900,824,1,20,17:54:48,23.821,23821,23.821,1
900,154,2,28,17:56:08,22.264,22264,22.264,1
900,813,1,29,17:57:57,22.847,22847,22.847,1
900,821,2,30,17:59:29,23.797,23797,23.797,1
900,18,2,32,18:02:01,22.399,22399,22.399,1
900,815,3,32,18:02:29,22.526,22526,22.526,1
900,807,2,33,18:03:36,22.933,22933,22.933,1
900,818,2,33,18:03:39,22.978,22978,22.978,1
900,4,2,35,18:06:45,21.978,21978,21.978,1
900,817,2,36,18:08:06,22.427,22427,22.427,1
900,8,2,36,18:08:30,21.825,21825,21.825,1
900,826,2,36,18:08:31,23.920,23920,23.92,1
900,825,2,37,18:09:47,22.273,22273,22.273,1
900,3,2,38,18:10:59,23.673,23673,23.673,1
900,820,2,41,18:18:13,23.493,23493,23.493,1
900,824,2,35,18:19:32,22.656,22656,22.656,1
900,822,1,10,17:24:46,34.921,34921,34.921,1
900,16,1,35,18:07:21,24.305,24305,24.305,1
900,822,2,36,18:08:28,23.117,23117,23.117,1
901,824,1,1,16:07:01,52.836,52836,52.836,1
901,818,1,2,16:07:55,45.629,45629,45.629,1
901,8,1,2,16:08:22,26.399,26399,26.399,1
901,825,1,9,16:20:38,37.116,37116,37.116,1
901,826,1,10,16:22:31,25.109,25109,25.109,1
901,821,1,10,16:22:33,29.420,29420,29.42,1
